nickname,time_ago,rating,content_txt
KC .,Feb 15,3,"Elizabeth Olsen tried to give Joan a measure of complexity, but her character was never given the depth or dimension this film needed to be truly special. The male leads were charming, and an exploration of their budding friendship would have been enjoyable. Sadly, the sweetness of the film was dampened by the writer/director’s lack of interest in Joan as a human being, separate from the men she shared her time with on earth."
Tim R,Feb 15,0.5,"The premise is so ridiculous.
I gave up about a 1/4 of the way through this terrible movie."
Robson C,Feb 15,3.5,"Quando alguém morre, chega a um limbo onde precisa escolher em qual mundo passará a eternidade. Joan, ao morrer, encontra seus dois maridos. O primeiro, morto na Guerra da Coreia, esperou por ela por mais de 60 anos. O segundo foi o companheiro com quem ela construiu uma vida longa e estável. Quem ela deve escolher? Hollywood parece ter redescoberto a comédia romântica: depois de Amores Materialistas, surge este filme, que funciona porque há química entre o trio central e coadjuvantes marcantes — Da’Vine Joy Randolph brilha sempre que aparece. A história provoca uma pergunta instigante: qual é o verdadeiro amor de Joan? O romance interrompido pela guerra, idealizado e eterno no imaginário, ou o amor vivido no cotidiano, feito de cuidado, parceria e constância? Cada espectador acaba escolhendo seu lado."
T R,Feb 15,4.5,Fun with twist right from the start! Interesting story writing; I was talking about the concepts and twist a couple of weeks after initially seeing this movie in the theater. Good story line for young adults and older!
Mike K,Feb 15,2.5,"Well.....the concept was interesting. The set up was excellent. Religious viewers might be a bit put off with this rendition of eternity and the afterlife. I have the feeling the writers of this movie are not very religious and didn't comprehend that some of this could be offensive to others. I would have enjoyed the movie more if it took a more serious tone to the subject. But that's just me. It kept my attention but it should/could have been much better. The leads were fine. The message...mixed at best. It falls into the category of ""I watched it..but probably wouldn't recommend it to anyone else.""."
Vicki S,Feb 14,3,Kept my interest for the most part but at times was plodding.
Cole M,Feb 14,5,"Elizabeth Olsen did a beautiful job playing a woman facing an incredibly difficult decision. The film does an excellent job of showcasing what Love truly is. It is not a moment, it's a series of moments, a chain of events that goes with you into Eternity. The film is fun, witty, emotional, and overall a great movie to watch with your spouse or partner."
Gosho F,Feb 14,0.5,"This film functions less as a drama and more as a parody of moral dignity. It relies on a clever, albeit disturbing, sleight of hand: it dehumanizes the two husbands to ensure the audience views Joan as the sole victim. The narrative manipulates us into ignoring the terrifying reality of the ending, that one of two human beings are condemned to eternal loneliness. Their only crime? Daring to remain loyal while alive. The directors ask us to celebrate Joan's journey, hoping we won't notice that it is built on the erasure of the men who loved her."
Bobby S,Feb 14,0.5,"This movie was so horrible I’ve gone 20 years without creating a rotten tomatoes account but this movie was so bad I wasted the time to create and account because this movie is just that 
horrible."
John B,Feb 14,4,"This is the kind of quirky, off-beat, romantic comedy that I like. The performances were great and really sell it. Great Valentine’s Day movie."
Kalissa H,Feb 14,5,"Loved it. It’s supposed to be about Joan’s choice not the afterlife concept, so keeping that in mind does make the experience better. John Early and Da’Vine Joy Randolph’s characters really added to it."
James T,Feb 13,4,Cute movie if somewhat predictable. Although i think the obvious choice was the man she had built a life with and had a family with. Her choosing the original husband at first didn't seem realistic. but still cute. Da'Vine joy was funny
Stephen R,Feb 13,2,"A very intriguing premise. The ending, was very appropriate. However, for a supposed comedy, the actors lacked comedic style."
Lauren T,Feb 13,5,I absolutely loved this movie!
Trevor A,Feb 12,1,Why is everyone rating this high. It's literally describing what the downfall of our relationship is. The fact that woman aren't happy with what they have until it's gone. Hense the cheating the always looking for something better. I find it sickening. These type of movies yes she figures it out at the end. But the fact she even had a thought and the fact she choose until she realizes what love is but it would of been to late for me. Never strive for someone where you are the 2nd choice. To me that's not love.
Marissa M,Feb 11,5,How is no one talking about this movie?
Ben W,Feb 10,3,"Not bad, not incredible. Great premise. There were some scenes that felt out of place and were a bit cringey. Overall decent."
Mandi S,Feb 10,5,"Loved it! Very cute 
1"
Connie J,Feb 10,4,"Sweet story that had me laughing and crying, it was relatable and imaginative.  Visually appealing and excellent cast."
Dre B,Feb 7,3.5,Very funny and good chemistry between Joan and Larry but I think some of the over comedy bits take away from me connecting on an emotional level with the characters so the ending kind of falls flat and is also a bit sudden? But overall a good and entertaining watch.
Noel L,Feb 2,4,This movie is Defending Your Life with a love triangle. What a sweet tale
Mikey K,Jan 28,3,"A solid concept and a delightful performance from Elizabeth Olsen just are not enough to get this film past the ""fine"" threshold. Too many ideas choked the ending and stretched a 90-minute rom-com into a two-hour mess. 60/100."
Ridwoan R,Jan 28,5,One of the greatest movies ever!
Peter F,Jan 28,3.5,Eternity was a pretty solid film. I feel like the subject matter was handled very well and it’s a very feel good story. Definitely worth a watch
Douglas E,Jan 27,5,"Both of them were part of Joan’s life, but her story with Larry feels deeper to me. One of the scenes I liked the most was when Joan explains to Luke the difference between youthful love and a more mature love, proven by time and the challenges of life. I loved the experience of watching this film."
Easy M,Jan 25,3,"An interesting idea, but the characters are one dimensional. Olsen spends most of the movie wide eyed and open mouthed, a single expression used for surprise, grief, confusion, and dismay. Her character's constant flip flopping between one choice and another becomes annoying, and the men come across as a bit stupid for putting up with it. It's not very funny, but it is romantic in a fairly shallow and predictable way."
Farah R,Jan 25,4,"Heartwarming, inventive, and deeply emotional, Eternity is a breath of fresh air for the genre. Anchored by the performances of a trio of talented actors, the movie plays out its interesting premise to its full potential. The well-developed characters and a wildly entertaining story are guaranteed to grip viewers from start to finish. I would say that the movie leans into emotional drama more than romantic comedy, so the humor is sparse, but it’s still great."
Tobias K,Jan 25,4,"At its heart, Eternity follows old romcom rules, but bends them by applying its fantastic concept - but not often enough. The further the characters, brought to life by a very charming cast, veer away from the simple search for love and towards the understanding of themselves, the more unique this film gets. There are some lengths, when the focus shifts away from the possibilities this world in between has to offer, but thankfully, beautiful and warm cinematography still give something to admire."
Paul,Jan 22,4,"One of the best movie I've seen in cinema this year! 

This movie is masterpiece. I've watched this in cinema alone, no one else but just me at the center of the cinema and it really did touched my heart in a way I can never explain. This movie was really funny, sweet, sad and heartfelt. The story, chemistry of the leads and supporting actors were so great in this movie. It was like I'm watching a movie that will literally age as fine wine. I did sobbed real bad at the train scene, I was literally crying watching that scene and I can't get over it. It was perfectly done like chef's kiss, this movie is something that you can watch once a year or every holiday season, or whenever you need a good cry or a movie that can simply lift your spirit and will surely bring you joy and tears to it. This is an unforgettable movie that I will rewatch and for sure recommend to my friends, family and loved ones."
Adam A,Jan 22,3.5,"Creative plot and well done. The movie centers on a man who dies at an old age and he goes to ""heaven"" which makes him much younger. His wife then dies, and she has to decide, since she is young again heaven, whether to spend the rest of eternity with the husband she spent most of her life with, or her first husband who died 60 years ago in the war. Truly a creative plot, and well done."
ngct G,Jan 21,4.5,"Its a beautiful film with lots of heart. Very interesting concept for a film. I the relationships that were built, lost and found. Miles teller and Elizabeth olsen were amazing as couple, but the chemistry seems a bit off but enough to work.. Callum turner doesn't have much tondo in the film. Love it."
Richard Y,Jan 20,4,A heartwarming romcom in which the protagonist finally wisely chose the second husband with whom she grew old together and not the first for only a brief period before he died as she never had the chance to find out if they were compatible in the first place.
Cynthia M,Jan 19,5,"Loved this movie, it was really good!"
Luan F,Jan 18,5,"Eternity (2025) is a fun, sensitive, and engaging film that handles time, love, and choices with grace. The narrative is moving without being over-the-top, supported by strong performances and a contemplative atmosphere that stays with the viewer long after the credits. A beautiful and reflective experience."
David A,Jan 18,4.5,So cute and funny. Best romcom in a long time
Zion B,Jan 17,4,81%.
Richard G,Jan 17,4,I think it was a good movie. I liked that it tries to explore deeper feelings than what meets the eye.
Patrick S,Jan 17,5,Kind of predictable if you’ve ever been truly in love. That being said it didn’t stop me from crying at every turn. A truly Romantic journey with the feel of the sense of your own personal hell.
Jennifer W,Jan 16,1.5,Had funny moments but I had to make myself finish watching it.
John D,Jan 15,4,For a romcom it wasn’t bad
Sebastian G,Jan 15,3.5,"No smart phones, only archives."
Andrei D,Jan 14,2,"Does not know what it wants to be and has almost no actual humor, the actors try but they fail to find anything truly interesting in their characters"
Whaley T,Jan 14,2,The world-building was lackluster and nonsensical and the plot was exactly what I expected from the trailer.  Not a single surprise nor delight to be found.
Claire,Jan 13,3.5,Very good. Had me tearing up. Not what I expected tho. Not a as funny as I expected. But still very good.
MB C,Jan 13,3.5,"A thoughtful sci-fi drama that turns the afterlife into an emotional pressure test.....After death, a woman must choose one love to spend eternity with, transforming romance into an irreversible decision....The film’s strongest asset is its clear world building, where eternity is treated as a bureaucratic process rather than a reward.....Its emotional conflict favors quiet exhaustion over twists, questioning whether love is built on passion or persistence.....The middle section drags, and the finale plays it safer than the premise promises....Still, Eternity remains a sincere meditation on love as a lifelong  and endless choice...."
Nunya B,Jan 13,2,"How is this 90%??  Just how?  It's not funny, it's not involving, it's just pablum for sappy people who think heaven is real.  The only reason that I gave it two stars instead of one is that it was coherent.  Dull, boring and unfunny but coherent."
Christopher C,Jan 13,5,Beautiful and funny and suprising
Cameron G,Jan 12,5,"Absolutely loved it. It reminded me a bit of ""The Good Place"" tv show style of story. Very funny, very cute, I could figure a bit of the plot out as I was watching but in a satisfying way. Love this movie."
matthias s,Jan 11,4,"**★★★★☆**

*Eternity* is a well-made and ambitious film that stands out thanks to its strong cast and creative concept. I’m always a fan of Elizabeth Olsen and Miles Teller, and both deliver engaging, heartfelt performances that anchor the story nicely. The plot is inventive and imaginative, especially in its take on the afterlife, a theme I’ve always enjoyed. It blends drama and comedy effectively, with a strong romantic core that gives the film warmth and emotional weight. While there’s a slight sense of predictability at times, it doesn’t take away too much from the overall experience. Emotionally, it didn’t quite hit me as deeply as I had hoped, but it’s still a thoughtful and polished film. Ultimately, it’s an impressive piece of storytelling that, despite its flaws, managed to leave me unexpectedly moved by the end."
Joseph,Jan 11,5,"Really good and provided the RomCom genre a new, almost feel, to the genre. Very funny and clever writing. A good time that gave me and my wife great conversations after."
Sheree B,Jan 10,5,"This was such a refreshing rom-com. The storyline was interesting, it was genuinely funny, and the casting was perfect."
Rohit R,Jan 10,3.5,Loved it. Interesting concept.
Liz F,Jan 10,5,"Was constantly rewinding scenes over and over to watch each actor in a scene. The actors were giving it their all, and it pays off throughout the entire film.

The concept is original. The movie is always two steps ahead of the viewer, so you never really know how it's going to end. It keeps you guessing the whole time, but not in a frustrating way where you're uninterested by the middle of act 2.

Can't express enough how great this movie is!! Cast and crew did such great work! Hope this wins some awards!"
Jahnia,Jan 9,5,I love this I don't think it should have been a comedy it's more of a horror is very hard losing a loved one it's also hard getting remarried
Eliesha P,Jan 8,5,"I LOVE the casting choice of Miles Teller and Elizabeth Olsen in Eternity. This movie stayed with me in a way few films do. It’s one of those stories that quietly changes your perspective and lingers in your thoughts long after it ends. Joan feels painfully human. She’s torn between love, regret, and fear of choosing wrong. Larry represents steady, unconditional love, the kind that shows up every day and asks for nothing but honesty. That’s why I loved him so much, and why it hurt so deeply when Joan slept with Luke. It felt unfair to Larry, and it broke my heart. But it also showed how complicated love really is, and how even good people make choices that come from confusion and longing. This movie made me laugh, made me cry, and left me emotionally shaken. Eternity isn’t just about romance. It’s about choice, timing, and the weight of loving someone deeply. By the end, I felt sad, full, and strangely hopeful all at once. That’s what makes this movie unforgettable."
Kris I,Jan 7,1,"The positive ratings by the audience would almost make me lose hope in humanity (almost). So cliché, so empty."
David D,Jan 7,4,Very good romance movie. The pacing can be a little slow but overall I enjoyed this movie
Ted H,Jan 7,5,"I loved it. Unique concept, not a very predictable script, great mix of deep, sad, happy, and funny moments."
William R,Jan 7,4,a cute feel good movie! Makes you think a lot about life. Loved the actors and the visuals were aesthetically pleasing.
resli,Jan 6,5,"Great concept, the cast was fantastic!"
Tim M,Jan 6,4,"With an endlessly clever concept, Eternity makes the most of its screenplay thanks to a cast that's firing on all cylinders."
Lawrence B,Jan 5,5,"A nice spin on the ""afterlife"" comedy idea, I found this move unusually well-acted and moving."
Michael G,Jan 5,3.5,"Well crafted on the back of an interesting premise, without plumbing any of the real depths or asking any of the big questions inherent in the setup. Strong direction and performances hum along, kept intentionally light hearted and with humor injected any time the story starts drifting anywhere near the deep end."
James E,Jan 5,3.5,This is quite fun and an interesting take on the after life. The romances are entertaining and the acting is worth applause.
Travis,Jan 5,4,Overall it was a great movie.  Great funny moments but the ending was slightly underwhelming.
Blair F,Jan 5,2,"Liked it a lot more the first time, when it was called ""Defending Your Life."""
Scott C,Jan 4,3,"Billed as a comedy/romance, some reviewers called it a throwback to screwball comedy. I get the romance part; however, the attempted comedy was very flat and signaled by the actor's raised voices and animated expressions. Fine. The performances were capable enough, given the material they were working with. Yet, these are assuredly not improvisational actors, so therefore, no chances of saving the script from itself. The story was expectedly, predictably twisty (will she/won’t she choose one or the other), but eventually it turned sweet as the Olsen's Joan reflected on her life experiences and choices. Such nostalgia wrung a bit of sweetness by the end. ""I’m happy when you’re happy..."" said her husband Larry (Miles Teller). I could have (and should have) waited to watch on streaming, and I would have been happier. However, I’m doing my part to support cinema with limited theatrical offerings here in the Midwest, where ""culture"" is more commonly referred to as ""mildew in the bathtub."""
Alex M,Jan 4,5,"Best romcom I’ve seen in a long time with a unique concept. The laughter, the tears. Miles Teller and Elizabeth Olsen are phenomenal in this."
Lisa B,Jan 4,3,Acting was excellent but being a senior it hit home! Interesting concept.
Alec B,Jan 4,1.5,"Yeah its ripping off better movies and the arbitrary rules make no sense but its worth mentioning that this is much bleaker than people realize. If there is life after death we should hope that it's about transcending our worldly concerns not continuing them indefinitely in a single environment. I honestly cannot imagine anything more hellish, even an empty void of non-existence would be preferable."
Zoila N,Jan 4,2,Unlikable indecisive main character. Slow developing plot without a redeeming ending. Would not pay to watch.
Wayne A,Jan 4,5,"The kind of film my wife and I have been waiting for for a long time. A great storyline, funny and one to pull the heart strings. Every cast member is spot on and perfect for their roles. Should have a much higher score a hit for 2025! A must see."
Vanessa,Jan 3,5,Best romcom I’ve seen in a long time I was the loudest one crying in the theater. Truly beautiful
Sean H,Jan 3,5,Absolutely amazing movie! It followed a refreshingly new and simple plot that expanded into a magnificent journey of choice and love.
mine,Jan 3,5,"Great film, it was fun to watch. I cried at the end of the movie"
Chloe J,Jan 3,5,"This movie was so moving. I did not expect to be bawling  so hard, I really connected with the plot."
Natalia P,Jan 3,0.5,"LA PEOR PELICULA DE LA HISTORIA.
ELIZABETH OLSEN ES UNA....."
Lea,Jan 3,5,I laughed. I cried. Very well done
Mike V,Jan 3,3,"You can only choose one.

Eternity is a 2025 American fantasy romantic comedy film directed by David Freyne 😇

Not bad, but not my favourite either 😉
It’s ok, but I feel mixed about this one 😉
I’d recommend it if you like this genre, but if not then probably give it a miss 👍🏼👎🏼

In an afterlife where souls have one week to decide where to spend eternity, Joan is faced with the impossible choice between the man she spent her life with and her first love, who died young and has waited decades for her to arrive."
Deniella P,Jan 2,4,"somewhat a reality check, weirdly. there's a lot of realizations made, i really love the idea of it ! probably one of my comfort movies !"
Kenny G,Jan 2,1,Overlong and dull.  Nothing remotely makes sense.   Both husbands were lame.   I did not connect to a single moment.  I'd have chosen the void.   What were they going for?  I have no idea but they did not get there.  Just a terrible movie.
Kathy,Jan 1,5,"Great story line, funny and poignant, fabulous ending."
Sedale S,Jan 1,4.5,"Depressingly exciting, I honestly have never felt such overlapping and conflicting feelings watching a movie before. It’s beautifully done. Once the 3rd act happens, I kind of saw where the movie was heading, but still was satisfied with the ending."
Abigail L,Jan 1,5,"It was such a cute little romcom, the plot was wonderful and all of their acting was so good. Will definitely be watching again."
Kaitlyn C,Jan 1,5,It’s an absolutely beautiful and adorable film. It really reminded me of traditional fun romcom films.
Kory S,Jan 1,5,loved it. great film. expertly crafted
Giorgio G,Dec 31,4.5,"I am no sucker for romantic comedies as most are pretty much identical to the last 10.000. But as I like Miles Teller as well as Elizabeth Olson, I gave it a try. Wow! Fortunately this flick doesn't follow those downtrodden trails of most others and, having an absolutely beautiful and intelligent script, is, for most parts, rather a silly comedy with logical-illogical scenes which make you giggle and laugh. The romantic/sentimental part is very limited which makes this an extremely enjoyable movie, enlightening one's inner self, no matter how old you are. 9/10 points. Watch it with your partner, if you have one!!"
Eric W,Dec 31,5,"This movie really surprised me. It was so much better than I thought it was going to be. It was funny and clever and just kept getting better all the way to the very end. At each step you think about what you would do and what the right choice really would be. It's rare that a ""romcom"" also poses some deep philosophical questions, but this one did. All the while there are so many jokes. Make sure you're always paying attention to the things in the background - the witty jokes are everywhere. This movie has a lot of heart and I really loved it!"
Dustin B,Dec 31,4,"While undeniably cliched in its story, Eternity pulls through with its imaginative creativity, likable characters, and wonderful acting."
K,Dec 31,3.5,Fun premise and  plot. Great characters and kept you guessing.
Sofía P,Dec 31,5,"One of the best romantic movies of recent times, I really missed this vibe 😭"
AJ E,Dec 31,5,Fantastic comedic writing and hit me hard in the feels at the end. Most fun I've had watching a movie in a long time. Watched it twice. Wish they'd pop off a few followups with new stories if they could keep the comedic writing as inspired.
Steve,Dec 31,5,The beginning kind of threw me off but its a fantastic movie. I cant think of one thing I didnt like about it. Elizabeth Olsen and Miles Teller are such great actors. Not many movies that Id rewatch but this one Id definitely rewatch and I recommend to everyone.
Shivali P,Dec 31,4.5,Much deeper and more meaningful than face value and entertaining enough on a surface level too. Highly recommend this one and still think about it often!
tm11999 M,Dec 31,4,"the full house sister takes a whole movie to realize her 20 year old self screwing was really hot and great but it can't replace a 67 year love with the partner who was with her through everything life gave them together. also good to see her and the teller kid using their own money to produce and star in a very good sweet little story. go ahead, you an watch this."
Anthony M,Dec 30,5,Brilliant film !!!!!!!!!!!!!!!!!!! Nothing more to say........
Katrina,Dec 30,5,"Seriously such a good movie!!! Loved the story, the humor, the heart touching moments. Makes one rethink death and the after life a bit in a more positive direction. Feel like this movie deserves much more buzz than what it’s gotten! Highly recommend!"
Randal L,Dec 30,3,A little depressing and self absorbed
Kate P,Dec 30,2.5,"Elizabeth Olsens acting in this made it hard to watch. The constant loud breathing and random commentary like ""oh"" and gasps from her sounded so fake and way overdone. Other than that the actual story was great and getting past that, I loved the movie."
Belinda G,Dec 30,5,"I love this movie! Its entertaining, positive, family oriented, and just good story telling.  I hope there will be more movies like this! I think he movies are healing... yeaaaaah!"
Tùng L,Dec 30,4,I love the plot. Some of the lines felt a little bit cringe but the plot and the acting was good. The casts were good. The ending predictable but i love the way Joan choose.
Stephen K,Dec 30,3,"There was something missing for me but overall, an enjoyable movie"
Robert O,Dec 30,2.5,"A pretty straightforward movie. Completely predicatable and rather boring. Rather than being romantic, Milles Teller’s character is annoying to the point you don’t root for his character to win."
Ale V,Dec 30,5,"La mejor película dramática con el toque de comedia correcto y perfecto. Me identifiqué mucho y, aunque eso pudo afectar mi criterio, creo q logra conmoverte y envolverte en la historia."
Alejandra A,Dec 30,5,"One of the best movies I’ve seen in 2025, it gave it all and it even gave me a sense of peace. 

10/10"
Savannah M,Dec 30,5,Couldn’t stop thinking about it for days
Chris R,Dec 30,1,Boring and W O K E. I had hoped it would be much better.
Kelli D,Dec 30,5,Such a well written and thoughtful movie. Miles Teller is hilarious
Melissa W,Dec 30,5,This movie really make you think. The grass is not always greener on the other side
Katherine C,Dec 29,5,"One of the best movies I've seen this year; I laughed, I cried, but above all, I loved it.
This movie truly reflects what real and idealized love is; it's absolutely perfect, I highly recommend it."
Nickolas F,Dec 29,5,Exceptional movie that makes you rebelieve in the beauty of a well done romcom.
Angela,Dec 29,5,Exceptional movie! It was the first movie my fiancé and I watched after getting engaged and it couldn't have been a more perfect time.
Tyler W,Dec 29,1,"If you came to this movie for a fun romcom based on death and eternity of life after death you will leave unimpressed. It is literally the wife choosing a ""hunk"" husband over her lifelong 67 year husband, realizing shes wrong and then finding a way to make her lifelong 67 year husband accept sloppy seconds, again, after he was mocked their entire marriage for not being good looking enough for her with images of the ""hunk"" husband. Depressing commentary on what most men get. Their wives are run through in their 20s and then the men that loved them all along have to settle for a used up and worn out, full of baggage woman when she decides shes done and wants a family and kids. Gross."
Justine B,Dec 29,5,"Me and my man Cried a lot during this movie. Bravo!! This is what cinema is about. Honestly, A24 should do more of this kinds! Hits really close to home."
Matthew P,Dec 29,2.5,30 minutes too long and the absurd rules in this afterlife are far too simplistic and negate any kind of nuanced existence there... Worth a watch but it's not a movie you'll look forward to seeing again.
Sergio B,Dec 29,4.5,I found it a very moving film in which they make excellent use of pacing and references to the characters' lives. I liked the ending; it's simply very good amidst all the meaningless romantic films that Hollywood has been releasing lately.
Erin T,Dec 29,1,"Yikes. So much to work with and it failed so spectacularly. Campy and boring, terrible acting, zero charm. A wannabe Defending Your Life without the script, humor or wit. Waste of time and money. 

…next!"
