nickname,time_ago,rating,content_txt
Luke P,Dec 29,5,"I loved this movies. The acting was great and the story was great. This is the kind of romcom we have missed and have been needing!
Great acting and the directing was brilliant."
Susan R,Dec 28,5,Very enjoyable! Wonderful perspective on how lives intertwine over time.
grey g,Dec 28,4,"Not a fan of Rom-coms, but this quirky story is a merry ""what if"" ride.  The humour is subtle and, for me, there was only once i laughed out loud.  In a cinema landscape of reboots, sequels and ""play it safe"" movies, this one shines originality"
Joe P,Dec 28,1,"Could not finish it. Olsen is such a terrible actor! I've seen better actresses in my acting classes many years ago. Her appalling acting, and the story trying too hard to be cute and funny, all of which made me vomit in my mouth a little bit. I couldn't even finish it, it is so bad."
Christian M,Dec 28,1.5,"Miles Teller once again proves why he’s one of cinema’s most compelling actors, bringing naturalness, charisma, and a distinct identity to his character. Unfortunately, Elizabeth Olsen and Callum Turner don’t achieve the same effect. Olsen spends much of the film in a monotonous state of anguish and crying, which becomes tiring, while Turner’s character feels flat and underdeveloped.

The story struggles to maintain interest, with occasional humor and entertaining sequences unable to offset a repetitive, heavy rhythm. Each turn of the narrative offers only minimal changes, making the film feel long.

'Eternity' shines visually, with colorful cinematography reminiscent of Wes Anderson, though the set design fails to fully captivate. The script is solid but doesn’t connect.

Overall, it’s an uneven experience: irregular performances, a story that loses momentum, and visuals that can’t compensate for pacing issues. A24 experiments with style but doesn’t reach its usual heights here."
Alex C,Dec 28,5,"Sweet movie. Happy it turned out the way it did, but this is genuinely a nightmare for anyone in this situation."
Stephen D,Dec 28,1,Shallow and meandering.
Rachel R,Dec 28,5,Absolutely amazing movie. I sobbed!!!
Sydney S,Dec 28,4,Lovely movie but most of the jokes were a hit and miss for me.
Amanda G,Dec 27,3,"It was an ok movie for me. I know it's only a movie but if I was married to someone for a short time and they died and then married again and spent 20-40+years with them and had kids and we grew old together that's the person I'm going to choose for my forever afterlife. The way she was just so confused I guess is kinda understandable but come on now. I felt she was very selfish and the way she acted when the second husband gave his approval and she was just so happy like he didn't mean anything to her and basically got what she really wanted, but was too afraid to say. Then when she thinks all is good she realizes she made a mistake, well I'd say you did, plus the first husband has anger issues. In my opinion she doesn't deserve the second husband at all and deserves a miserable afterlife with nobody."
Dana D,Dec 27,5,This is a very special and very beautiful movie. Great cast. Great directing. Really made you think about life!
heather W,Dec 27,3.5,Original plot. Interesting storyline.  Great supporting characters
Brock A,Dec 27,5,Absolutely loved this movie!
Susie C,Dec 27,2.5,"The humor fell kind of flat. It had sweet moments, but I feel a lot of potential was missed here. And also, EVERYTHING would be horrible for an eternity"
Michel V,Dec 27,2,"It looked good but the acting didn’t catch on felt like one sketch after another. If you’ve seen a movie with them before and you liked it you’ll probably also like this one.The ending was also quite quickly predictable. It’s weird i thought that the partner of Dua Lipa looked great in pictures but as an actor he doesn’t have the same charisma, was curious about him because they suggested him as the new Bond and thought it would be a great fit."
Joe R,Dec 27,5,"Excellent and thought provoking interpretation of what the after life could be. Eternal life is what we make it. I liked how down to earth the movie is and the ending left me in almost tears. What a great film. Would make an excellent movie for Religion, English and/or Film Studies classes to analyze."
Teal L,Dec 27,5,Such a cute movie! I would 100% recommend for a feel good movie!
Darcel,Dec 27,5,"Sooo beautiful! Criedddd!! It’s so well written and the acting and the aesthetic of the locations are very nostalgic and déjà vu. The whole idea of her having to choose which partner to be with for eternity , the one she lost or the one who she spend the rest of her life with! It makes more sense for her to choose the one who she grew with, laugh, cried, argue, annoyed, and the most happy moments. The struggles they both went through in life. It’s very romantic."
Johnny B,Dec 26,5,"The point is: there are no reservations to be made about Eternity, because it's basically a very beautiful film. The cinematography is stunning and so perfectly integrated that it feels like a tight hug, while the on-screen chemistry between Olsen, Teller, and Turner is a feast of fun. The script is innovative and quite creative in what it holds up to, and the love story here has the ideal fantasy touch. It's such a good film that I'm at a loss for words, so just go watch it with some popcorn and soda and improve the rest of your day."
Donna,Dec 26,5,"Loved, loved this movie!  I'm not usually a fan of rom-com...but Olsen and Teller have been my favorites for a while.  Want to see more ..they are great together"
Sprite L,Dec 26,3,"I find it hard to believe that, out of the billions of people who have ever existed, this is a special circumstance."
Wendel L,Dec 26,4,"Direção: Bom
Atuação: Bom
Roteiro: Ok
Caracterização: Bom
Soundtrack: Ok"
Malik a,Dec 26,3.5,It was really good but had some potholes for me which were tolerable but really happy to see something other than sequel's or remakes
Dawn H,Dec 25,4.5,Eternity was a movie that I walked into expecting a simple rom-com i walked out of with one of the most well made with camera angles that showed vast scale of the world to silhouettes that turn dark shots into story beats and the opposite end of the spectrum using color that isnt used much in the current era of films my only issue was it felt as if there was too many fake out endings this is a must see for anyone who wants to see a well crafted love story and vibrant visuals
sebastian a,Dec 25,4,"It has its ups and downs, but that doesn't stop us, as viewers, from enjoying the film. While it clearly follows the rules of romantic comedy, it deviates enough from the beaten path to forge its own style, achieving a refreshing moment of romantic tenderness with a charming story. It's a sweet, spiritual, and somewhat witty take on the dreams that can arise in the afterlife.

One of the biggest surprises of 2025, this film brings justice to a genre that has often been denied its due. A love story that invites us to relive memories and enjoy all the ways of loving and experiencing each of the milestones that mark our lives."
R T,Dec 25,4.5,"Enjoyed this movie, much funnier than I thought it was going to be .... though they really should have just learnt to experiment with their relationship dynamic😅"
Renato T,Dec 25,5,Hands down the best movie of 2025!
Dawn M,Dec 25,4,Cute movie.  Makes you think about how you want to spend eternity.
Blake B,Dec 25,4,Very very pleasant little surprise definitely one of my favorites of the year
Gretch F,Dec 24,4.5,This was an unexpected winner. Very thought provoking and cute Da’Vine Joy Randolph added something special as well. I loved it
Lili T,Dec 24,5,"over time you find movies you want to see over and over again. This is one of them. I used to collect them on DVDs, now they are online for purchase. I will do both if I can. I LOVE this movie, it calls to my heart and my soul."
Les N,Dec 24,4,So how did she make it back? I don't got it?
Zohaib A,Dec 24,5,"Elizabeth Olsen, you are everything to me and Davine Joy Randolph, oh this movie NEEDED you. This movie was cute and really portrays the dilemma of love in a profound way! It was really heartwarming to watch."
JayzSuperMac,Dec 24,2.5,"Although the acting was pretty good and certainly the best part of the whole movie production, I didn’t care for the portrayal of the afterlife and the humanist ideology."
Matt,Dec 24,5,Miles Teller. Life after death. “Eternity is eternity. It’s forever.”
Janel,Dec 24,3.5,I really enjoyed the movie. Tear jerker for sure!
JAMES,Dec 24,4,Good rom-com that the wife and I thoroughly enjoyed!   I like that they didnt give everything away in the previews.
Taeke W,Dec 23,5,"Absolute must-watch. This romance/comedy/drama is going to become one of the classics in romance. The way that the mottos keep coming back in subtle ways, which you can tell, is brilliant. Top tier"
Ryan W,Dec 23,5,Terrific movie! Everything about it was amazing!
Mayank N,Dec 23,4,"A film about guilt, not choice. And that the life we live > the life we imagine."
Geoffrey D,Dec 23,5,This movie is not about the afterlife. It is about life. It is a metaphor for life. Which eternity do you choose.
Joe H,Dec 23,5,"Enjoyed it very much, interesting idea of the afterlife and I thought it had a great story."
Kornelia S,Dec 22,5,"Heartwarming movie, good choice to lift your mood"
Julianna,Dec 22,4,"The set design and costumes were stunning, acting was great as well!"
Teresa G,Dec 22,4.5,Great movie!  Brought tears to my eyes. Tough decision about life.
Graeme,Dec 22,0.5,"Utterly unoriginal and hokey.  The worst of shameless, derivative Hollywood.

Go find ""Afterlife"" (beautiful, thoughtful Japanese movie from late 90s).  Or if you want quirky chuckles, stream ""The Good Place"" series."
Kenneth T,Dec 21,5,I loved this movie... what a different take on the afterlife. Great acting and character development. Great JOB!
jaymie,Dec 21,4,Super fun watch and fun new concept
Heather,Dec 20,4,I thought it was supposed to be funny but it was really sad
Amber H,Dec 20,5,Very moving and touching. Good comparison on life long marriage and all the hard things but also all the joy and connection compared to the “what could have been” with a past partner. Lots of comedic gold.
Ann M,Dec 20,5,"There haven't been many movies lately that check all the boxes of being thoughtful, funny, sad, entertaining and just overall really well made! This one checked all of those boxes for me. The casting was excellent and the telling of the story had many unexpected layers.

I didn't want it to end... 2 hours flew by and I wanted to see more of their lives. The story pulled you in and made you feel invested and towards the end highlighted parts of their world you wanted to learn more about. I could see anyone loving this movie for the heartwarming characters and comedic afterlife portrayed! I'll never think of angels quite the same way."
Ant W,Dec 20,4,"Very interesting film, had just the right amount of comedy and pulled on your heart strings"
Mary,Dec 20,5,"So so good! Hilarious and emotional. Everything you want out of a movie. The cast did great, Ill for sure be buying!"
Dave J,Dec 20,5,"For me, this movie was in the category of, ""Yeah, I don't think this premise will work."" Well, after reading good reviews I decided to see it and I loved it. Very creative, fun, funny and at times touching. Loved the ending and even had tears well up when Larry had a revelation about Joan's hair."
Helen,Dec 19,0.5,This was a movie that pretended to have a plot and felt far longer than the 1 hour and 53 minutes that we endured watching it. Do not recommend.
Johnny S,Dec 19,5,Want a good love story. They made one.
Josh N,Dec 19,4.5,It is very original and it kept my attention.
Parker A,Dec 19,5,"An absolutely fascinating movie concept, executed perfectly"
Meiza M,Dec 18,5,"I can’t recall the last time I watched a romcom with not only plot twists, but plot twists that make sense!"
MyUna,Dec 18,5,I loved how vibrant every scene was and the originality of the archives. If I could bottle this movie up and drink it I would. The AC’s were very cute. I can’t wait to watch it again.
Bruce S,Dec 18,3,"Good, entertainming movie"
Yasmine Y,Dec 18,5,"Eternity is as heart-warming as Love Actually, but with a sweet philosophical twist that gently invites a deeper reflection on life and death. It truly sticks you to your seat, blending humour, tenderness, and quiet introspection in a way that feels effortless and sincere. The film balances joy with meaning, leaving you smiling while also lingering on the bigger questions of existence. What a joyful ride - uplifting, thoughtful, and emotionally resonates long after it ends. Gosh I adore a smart director and of course a fantastic cast !"
Anup,Dec 17,5,"I really enjoyed this movie.  Weve all seen a million reimaginations of death and all the craziest premises for romantic comedy, but this was much more clever and imaginative.  I wont give any spoilers only to say its been making me think a lot.  Well-done!"
Caroline,Dec 17,5,"One of the best movies I have seen this year! Olsen and Teller did absolutely phenomenal portraying their parts! They made it difficult to forget that they had lived whole lives and were both portraying their older and younger selves simultaneously. Both me and my husband got emotional at parts. Beautifully portrays, love in good and love through hardship"
Valerie L,Dec 17,5,"Original story, great balance of a rom-com. I loved the movie and would watch again, my 18 year old daughter really loved it too!"
Antonio,Dec 17,5,Great story with an exceptional blend of comedy and drama!
Karina M,Dec 17,5,"They don’t make movies like this anymore. In the vein of Defending Your Life, this movie does not rely on ironic genre subversion, but rather on the strength of its comedy, cast chemistry, and beautiful production design. So glad I saw it in theaters."
David,Dec 17,5,"This movie was so funny, heartwarming and entertaining! Honestly a perfect rom com."
Kevin O,Dec 17,4,Couldnt decide if it wanted to be a comedy or a depressing drama.
Bob E,Dec 17,4.5,"Fun & entertaining movie - well written, directed, and acted.  An interesting combination of comedy, romance, and a storyline that may leave some thinking about their lives and what is important."
Erik J,Dec 17,4,"I thought Eternity was sweet, romantic, funny and trippy.  Nice story and performances.  And the best part was the gorgeous Miles Teller, my new heartthrob!"
Andrew C,Dec 17,5,Excellent movie. A must-see for anyone who will ever die.
John s,Dec 17,1,"Save your $$$.  This movie is terrible.  Film quality and color was poor.  Story line was weak, and sound was just OK.  Only redeeming element was the acting , which was pretty good.  Also, actors took the Creators name in vain, gratuitously about 6 times!  Why is Hollywood so dead set on diminishing Gods name?"
SmokinHotAmy,Dec 16,5,"Interesting concept, likeable characters, plot twists.  Sparked some interesting and fun conversation in the car on the way home  about about the person and the life what each of us would choose .  Well written and well shot."
Vincent Y,Dec 16,5,I cried on this movie. It's one of the best eye opener
G C,Dec 16,4,"Original storyline that was fun to see unfold. Miles Teller did a great job in the movie and there were some fun twists and interactions, though the wife character was a bit annoying by the end. Better than average though and worth a watch."
Emma C,Dec 16,5,Loved this movie sooo cute. a must watch
BW,Dec 15,2,Even in the afterlife women have no clue what they want
Lauren F,Dec 15,5,LOVED this movie. Every aspect of it was so good. Actually funny but still heartwarming and takes a few twists and turns
Richard T,Dec 15,4,Interesting take on the afterlife. Funny and at times emotional. Worth a watch.
Nick .,Dec 15,5,Emotional rollercoaster with amazing character development and a great plot
Gianna C,Dec 15,5,Best movie I’ve seen all year.
Kaylee,Dec 15,5,"I loved this movie overall and thought it was beautifully done. That said, I do wish it would have pulled at your heartstrings a bit earlier on. I had some trouble connecting with the characters at first, but toward the end everything came together and I truly loved it. The ending made the journey worth it and left a lasting impression."
Jack C,Dec 15,3.5,"This movie was entertaining to watch for the most part, although some of it was kind of predictable. Kind of funny. Acting was pretty decent. I'd probably watch it again if someone else wanted. Nothing exceptional but at least it wasn't a waste of time. The ending did leave a little bit to be desired. If they were going to take it as far as they did, they probably should have taken it a little bit further. It does make me wonder how this movie would be perceived if the roles were reversed and the guy had to choose between two women in a similar situation."
Ivey,Dec 15,5,One of the best movies in a long time. Cried my eyes out majority of the movie.
Kim Z,Dec 14,2.5,Cute. A bit long seeming.
jacky l,Dec 14,4,It was really good! Slightly predictable but a very cute movie with great acting!
Joshua m,Dec 14,4,"It is a charming feel-good movie, if slightly talky. Yes you can predict easily what is going to happen. Still, it's a great take on that age-old question, ""Would we have made the same choices in life? """
Melinda,Dec 14,5,Unique concept and so cute. Well done
surfgirl,Dec 14,5,"Great story, my new favorite rom com. Makes you think about  what eternal love means."
KRDen,Dec 14,2.5,Acting and writing could be improved. The story was cute but couldve gone deeper. Having ACs and staff with poor attitudes was disconcerting. Saying JC and GD in vain so many times didnt help story line. The gay sexual references werent funny and didnt support storyline.
Pary,Dec 14,4,"This is one of those movies you’ll find randomly one day and thank yourself for watching it. It’s very cute, heart warming, emotional and hopeful. This will hit home for a lot of people and it will make you appreciate what it means to love and what it means to sacrifice. If you want something unique but still have those rom com story beats, this one is for you."
Lynne,Dec 14,3,It was entertaining but strange premise
Geoffrey S,Dec 14,4,Loved it. Great original idea. Terrific characters. Very heartfelt.
Jonathan N,Dec 14,5,"What an absolute romantic, comedic, philosophical treat! Excellent acting all around and a beautiful message"
Darin,Dec 14,5,Excellent storyline! Laughed and cried!
Kelly M,Dec 14,5,"Best movie I’ve seen in a long time! Full of beautiful thought provoking scenes, great actors, so entertaining! Highly recommend!"
Louis C,Dec 13,5,Favorite movie of the year!! There was never a dull moment and packed full of clever humor. Very fun film.
Howard,Dec 13,2,"Slow, weird plot. Somewhat boring."
MARYANN T,Dec 13,0.5,"When an older couple pass away, the wife must decide who she wants to be married to for eternity, her husband of over 60 years? OR, her first husband who died in a war shortly after they were married?  This is such an interesting theme, but the storyline fell completely flat. The afterlife was portrayed as a chaotic, disorganized place, and the guides were very strange. There was more than one reference to the practice of having group sex there,  which was disgusting. There were only 2 other people besides my husband and I in the theater. which says a lot about just how bad this  movie was."
Miguel C,Dec 13,5,"I actually liked this one a lot. Something that was nice to see is that, whereas most fantasy and sci-fi films today like to make heavy use of fantastic CGI visuals, the visuals in this film, while stunning, did not attempt to create imagery that was fantastic. In a lot of ways, the filming was more like a play than most films are today. It focused primarily on the story and the acting. The acting was very solid and the story line was compelling."
Craig,Dec 13,4.5,"Strong cast, warm laughs and a look at love from a different lens."
A. V,Dec 13,4,"Eternity is one of those rare films that stays with you because of the questions it dares to ask. It’s thoughtful, unsettling, and deeply engaging, inviting the audience to sit with ambiguity rather than offering easy answers. The more it lingers in your mind, the more rewarding it becomes. This is the kind of film that’s even better after you’ve watched it, when you realize you’re still thinking about it."
louise m,Dec 13,1,"While the concept is intriguing and the jokes are fun, I hated everything about what it had to say about love"
Leonie S,Dec 13,5,A great movie that pulls on your heart strings while making you think about your own eternity.
TF,Dec 13,4.5,A much better movie than expected. We thoroughly enjoyed it.
Matt A,Dec 13,4,"Eternity feels like a throwback to a bygone era of filmmaking something that could have been made 60 or 70 years ago yet it never feels dated. Charming and deeply romantic, this comedy drama thrives on the effortless chemistry of its leads and sharp, intelligent writing. Set within a thoughtfully imagined afterlife, the film poses an irresistible question: who from your life are you truly meant to spend eternity with? While the premise suggests a classic love triangle, Eternity elevates it with emotional depth, wit, and genuine insight, resulting in a romcom thats as smart as it is heartfelt. 8.5/10"
Key L,Dec 13,5,"This movie was better than I could have ever imagined. It pulled on my heartstrings in a way that I never knew was possible in a movie. I laughed and I cried a million times. I’d watch this movie a million times over. It gave me a new perspective on love and loss. 10/10 movie, it doesn’t get better than this."
Miguel A,Dec 13,5,"Amazing film. Funny, original, great cast, good characters, etc. Wouldn't change anything about it. We need more movies like this ."
Jake,Dec 13,5,The perfect mix of humor and emotion
Stoney T,Dec 13,3.5,It could drag a bit at times but what made the movie for me was the character interactions and the overall look of the movie. Definitely glad I saw it
Griffin B,Dec 12,4,i’m relieved to see Art Deco is the afterlife aesthetic of choice
Rafael F,Dec 12,3.5,"Cute film, I expected more deepness though."
Selene,Dec 12,5,This movie will make you laugh and cry so many times. Absolutely love!
Alessio C,Dec 12,4,"I actually liked this one. Funny, romantic, heartwarming, and surprisingly tear-jerking - and what matters is that it all felt convincing. Olsen, Teller, Turner all play people who are basically 1950s souls trapped in their younger bodies, and somehow it works. The acting is sharp, the humor is subtle (that ""1930s Germany afterlife - but 100% less Nazis"" line almost killed me), and the emotional hits land hard enough that I was nearly crying.

The middle does wobble a bit - pacing slows, jokes get corny, the acting shifts into overacting territory - but the final act pulls everything together. Suddenly the movie finds its rhythm again, reminds you why you cared, and closes on that beautiful, tear-soaked, heart-squeezing note.

8️⃣/🔟"
Jackeline,Dec 12,2,It has its funny moments but very boring and some parts of the movie are awkward.
Charles H,Dec 12,5,Eternity is a great movie. It takes a look at life and the afterlife in a somewhat non-traditional way. This movie is worth watching at least twice. When you think it is ending it isnt yet. And the Dean Martin music as the credits start to roll is wonderful.
Mirela P,Dec 12,1,"During this whole after life story, I waited for the humorous, unexpected turn, that would make this comedy humorous, not a version of hell for any sane person. I can see the parody, the old clichés and sarcasm pointing towards the hollowness of stories about the happy american family, or even the traditional ""happily ever after"" of children's fairytales (in case they deserve our sarcasm). Dark humour ? I'm a fan of it, but I fail to see it. Yes, the idea of chosen eternities... let's say could be interesting and the examples make it funny like hell. And yet hell is what our couple is offered. A reliving of the same reality (our world), tied for eternity to the same man is clearly a punishment. And who do we make fun of? Of stupid people? The recipe is too old. Since the banana peel. Could someone, please explain to me, why this movie is praised and respected? I love the actors. But to make fun of nothingness is stupid."
C S,Dec 12,5,Such a winner! Smart. Funny. Creative.
Joseph L,Dec 11,5,"An absolute masterpiece that deserves
more attention. Myles Teller did an amazing job in this movie."
Cyns C,Dec 11,4,"Eternity turns the afterlife into a funny, strange, and unexpectedly emotional love triangle. Miles Teller and Elizabeth Olsen anchor a story about choosing between two good loves, not good and bad ones, and the film blends heartfelt moments with quirky worldbuilding in a way that really surprised me. Video review: https://youtu.be/V7UGLMzsZj4 and livestream discussion: https://youtube.com/live/A7P-E_YfJng"
Leo O,Dec 11,1,This felt like an Eternity in hell
Gail N,Dec 11,4,"Not what I expected. But everything I wanted to see. I enjoyed every emotional rollercoaster that it put me on. The guys were quite the pair fighting over Olsen. 

Cinematography was good. I like movies with colors and props and backgrounds that are not just vibrant colors."
Juanma L,Dec 11,4,"Beautiful movie, sometimes a little bit slow but is worth to watch"
Isabella,Dec 11,5,Great movie! I wasn’t expecting to like it as much as I did. Would highly recommend.
Chloe,Dec 11,5,Such a fun film!! Very cute and clever. Love all the actors involved!!
North A,Dec 11,1,This movie was slow and never really entertained.  The story line could had been written more better.  I feel asleep for a few minutes from boredom.  Save your money.
Brandon M,Dec 11,3,"Movie was decent but not noteworthy, had a good ending."
Robert C,Dec 10,3,"it was funny at times. The movie doesn't really follow Biblical or theological standards. From a fiction standpoint, it does make one wonder about eternity with our soul and what may happen when we die. Otherwise, it seemed predictable with some preposterous scenes and background."
Ian W,Dec 10,4,"This was surprisingly very good. That’s not to say I expected a bad movie, but I didn’t think I’d be as invested in the story as I was watching this. It also helped that the pacing was on point, there wasn’t a wasted minute in this film and the actors all carried the material well over the finish line. The concept of a love triangle isn’t at all unique, but I loved how this one in particular was packaged. 

At first I felt a bit frustrated by the indecision on display in this film from our female lead played by Elizabeth Olsen, but once I put myself in her shoes, I instantly let go of that frustration, and supported the back and forth nature of the film. After all, this film is all about making a giant decision that will theoretically be permanent for all of eternity. 

If you were worried about it being too “feel good” don’t worry, it’s not that kind of movie. It’s serious at times, deeply emotional but has a funny spirit through and throughout. I would have like a bit more explanation on the bureaucracy that is in charge of the eternities, but, regardless, it’s 100% worth checking out."
Era,Dec 10,5,"What is not to like about the movie? Very cute and good film would recommend highly, as this is the type of cinema that is simple and romantic involving yearning and an emotional plot, intriguing moments and comedy 😎"
Gabriel,Dec 10,5,heart warming and full of comedy.
Brenda D,Dec 10,3,"Nice story, I thought the movie was just ok."
BotoSama,Dec 10,3,it was aight. kinda slow and predictable. the beginning was okay.
Missy,Dec 10,5,Laughed a cried a dozen times. . Such a good love story and creative theme
Jeremy J,Dec 10,4,"I like the personal conflict this movie brings up but in a way where you can smile about it and like the characters. I felt the emotions of it all along with the characters. I also loved the showcased ACs. They provided great comic relief. In a world of sequels, I enjoyed this more original idea."
Ethan,Dec 10,5,Top 10 favs for sure
Jack-Ryan J,Dec 10,5,Best romcom of the year!!!
STU L,Dec 10,4,"This film was thoroughly entertaining, interweaving a serious subject with hilarious comic moments. The premise is that a woman arrives at the afterlife and confronts both of her deceased husbands--the one who died young and the other the man with whom she shared over half a century. The comedy comes from the basic premise--that people can choose where they want to spend eternity--as representatives of the numerous eternities hawk their wares by handing out leaflets.

Several years ago I saw an Israeli film with a similar premise--a woman having to choose between her first lover and the man with whom she spent most of her life, but in that film the subject was treated more seriously. I wonder if the script writers for this film were aware of the earlier film."
Samantha A,Dec 10,5,AMAZING MOVIE!!! The best literally so good! they did am amazing job with the plot!
Ellie T,Dec 10,5,Crying from nearly the start. Funny and reflective.
Brianna-Violet,Dec 10,3.5,Very predictable but a fun watch with a few good laughs as well!
KB,Dec 10,5,"This movie made me laugh and cry several times. Great movie, loved it."
Sydney P,Dec 10,4,"This was laugh out loud funny. I did not expect it to be so hilarious. The plot was so original and unique, the cinematography was BEAUTIFUL and the characters were endearing, each in their own way. I felt that the right choice was VERY obvious, but they did make sure to break your heart at least a little no matter what choice was made. I have a few gripes with parts of the plot line and timing but otherwise, it’s the best romcom I’ve seen in years."
Daryl L,Dec 10,5,"The story was compelling, interesting and well thought out. It gives you an idea of what the afterlife may have waiting for us. Well acted and thought provoking.

The three leads completely sell the story and the supporting cast add to it and support the leads superbly.  A must see."
Kendra K,Dec 10,3.5,It was a good story but too long.
simone w,Dec 10,4,"Thought it was thought provoking and moving. Had some funny moments, and some heartbreaking ones. Interesting plot."
Yespat,Dec 9,5,Really good movie.  Makes one think but not too hard.  Very entertaining and kept my interest throughout.  Highly recommended.
L W,Dec 9,2,"The first 10 minutes of this movie were the most captivating when the old couple were in the car and at the party. After that it was slow, boring and badly acted. Just bad. Don't bother."
Lilia C,Dec 9,5,"Fue agradable ver la película, me recordaba aquellas películas como Chances Are (1989) o While You Were Sleeping (1995) con este toque de amor y esperanza que existe en el amor de tu vida."
Rob B,Dec 9,4,The storyline was unique and is an interesting take on what happens to us once we've left this life. It was well done and the roles were played well. Overall this was a good movie and would recommend it.
Justin B,Dec 9,3.5,"My wife and I enjoyed this movie.  There are some very predictable moments but definitely puts into question the marital contract of ""Till death do us part"".  Very enjoyable acting from our three main stars."
Jess,Dec 9,4,Knew right away the correct answer.
Sergio A,Dec 9,4.5,"The film has a pseudo experimental style that, rather than feeling pretentious, blends surprisingly well with romantic comedy elements that give it a charming sweetness. The supporting cast isn’t particularly strong, and some performances even feel uneven; however, this doesn’t significantly weaken the film, because the emotional and narrative weight rests almost entirely on Elizabeth Olsen’s character.

Olsen delivers a performance full of nuance, even within the lighthearted and unconventional structure of the film. She manages to convey vulnerability, humor, intimacy, and an emotional authenticity that elevates the entire project. It’s one of those performances that truly lingers long after the credits roll.

Unfortunately, this isn’t the type of film that typically enters the conversation during awards season. Otherwise, Elizabeth Olsen would undoubtedly be in the running for an Oscar or at the very least, a Golden Globe."
Degi D,Dec 9,3.5,Beautiful people & enjoyable story…
Griffith J,Dec 9,4,"A wholly unique romcom concept that is entirely engaging with the indecision & surprises the characters deal with. The whole cast is awesome but Olsen & Randolph have some of my favorite performances of the year. Genuinely funny with its natural, clever, & well written humor. I wish it was shot in more interesting ways & the pacing needs tightening up in the final act. Yet it has such a profound look at life, truly moving dialogue, & a tender, sacrificial approach to show that ordinary love is extraordinary."
Brian N,Dec 9,5,The movie pulled on my hopeless romantic strings. There was never a boring plot point and it was really entertaining. It makes you think about your future more and the people you’ll spend it with.
Mr H,Dec 9,2.5,Problem is that the movie ends up not following the rules it set out. If you change the rules just for these characters it makes them pointless. Nice concept but ruins it by not sticking with the rules at the end.
Wayne M,Dec 9,3.5,"Eternity is a sweet and entertaining film. It's a clever film with a unique construct, that mostly works. The film is a fantasy romantic comedy. It begins with elderly Larry and Joan on the way to a family gender reveal. When Larry chokes on peanuts he dies and 'wakes up' in the 'The Junction', the place that dead people frequent before they decide which Afterlife world they will inhabit. But he discovers that Luke is also there. Luke was Joan's first husband before he was killed in the Korean War. When Joan passes, she joins them there and it's a battle for her affection. Who does she want to spend her afterlife with? Her first love or her husband of 50 years. So ensues a fairly reliable comedy that works because of the leads in Elizabeth Olsen, Miles Teller and Callum Turner. It's a bright and fun film, but it also manages to have its moving moments as the film works towards its conclusion. A solid and reliable film that manages to provide enjoyable entertainment."
Tyler d,Dec 9,4,"Very simple and sweet story, but lack of imagination & world building held this back from being great."
Elizabeth T,Dec 9,4,"I thought it was humorous, clever, and sweet. It wasn't the most amazing movie in the world, but for what it is, I liked it."
Tyler G,Dec 8,3.5,Charming with a satisfying ending.
Angelo P,Dec 8,5,A truly beautiful well written romance comedy that has a lot of heart and will make audiences cry out a few years.
kyle,Dec 8,5,"Good movie, miles teller is such a good actor"
Victor C,Dec 8,4,"A very funny and entertaining romcom with a simple narrative. It is not very profound but really enjoyed the ast act. God, I wish more movies were like this."
Davide R,Dec 8,5,"A sweeping, beautifully restrained romance that feels both timeless and refreshingly genuine. Drawing on the elegance of classic love stories, the film uses its quiet moments as powerfully as its grand ones, letting emotion build naturally rather than forcing it. The screenplay is thoughtful and layered, blending nostalgic sentiment with modern sensitivity. Each scene invites reflection on love, on choice, on the small moments that shape entire lives."
muggins C,Dec 8,4,"Enjoyable film with an interesting concept. Joan and Larry were great characters not too sure about Luke.. Not exactly 'perfect' looking in my book... 

I'm still waiting to see what clown world looks like 🤡"
rob p,Dec 8,4,"Liked the idea of defining real love. 

Didnt like the simplification of heaven."
Pasquale M,Dec 8,5,I’m taking Larry all day… a beautiful love story about how the highs and lows of a relationship are what make it all worth it and the little moments.
Danny Z,Dec 8,5,NOT GOING TO LIE BUT I CRIED FOR MOST OF THIS MOVIE :( IT WAS TRULY CUTE AND ROMANTIC AND SOMETHING I WISH I COULD EXPERIENCE IN REAL LIFE. MADE ME THINK OF MY GRANDPARENTS AND THE BOND THAT LINKED THEM FOREVER. TRULY ONE OF MY FAVORITE MOVIES OF THE YEAR. BRING TISSUES THOUGH YOULL CRY
Nina,Dec 8,5,"Loved it!! Laughed, cried, and glued to my seat the entire way through. Watch this movie!!!!!"
Jaykeb G,Dec 8,4.5,"Eternity is heavenly. I was touched by its portrayal of love through memories and its full of life performances. Where I love this movie most is its use of creativity from its afterlife world building, a lot of good comedic physical gags were tossed around and I really loved its fresh original take on the afterlife. The movie also has such a pure hearted story with such well developed characters that gave me so much enjoyment watching parts of their story unravel while desperately waiting for the film’s anticipated conclusion, which this film has an emotionally stellar third act, but I do however wish the more emotionally driven scenes in the movie were more powerful. Some of the comedic timing isn’t perfect, but at the same time that also filled the movie with so much more life and made me walk out the theatre feeling warm and full of love. Definitely recommend this in theatres"
Michaela,Dec 8,5,Light hearted romance that really hits the nail on the head. Beautifully captivating. Miles teller was a good pick.
Caesar,Dec 8,5,"How great the cinematography was and the acting was phenomenal,!"
